PhiStart	PhiStop	PsiStart	PsiStop	Observations	PhiAvg	PhiDev	PsiAvg	PsiDev	L1Avg	L1Dev	L2Avg	L2Dev	L3Avg	L3Dev	L4Avg	L4Dev	L5Avg	L5Dev	a1Avg	a1Dev	a2Avg	a2Dev	a3Avg	a3Dev	a4Avg	a4Dev	a5Avg	a5Dev	a6Avg	a6Dev	a7Avg	a7Dev	OmeAvg	OmeDev	
-60	-50	-30	-20	2	-55.8	3.578	-26	1.365	1.339	0.011	1.445	0.011	0	0	1.509	0.001	1.252	0.043	120.9	3.394	0	0	114.15	1.061	0	0	119.55	0.495	119.35	2.333	121.8	0.849	180.4	2.234	
-60	-50	130	140	2	-56.2	1.393	137.9	0.735	1.335	0.007	1.454	0.006	0	0	1.527	0.001	1.235	0.011	118.8	0.99	0	0	111.1	1.414	0	0	121.3	0.283	116.35	0.495	123	0.424	181.6	8.867	
90	100	-30	-20	4	95.3	0.887	-22.5	1.448	1.338	0.006	1.436	0.039	0	0	1.512	0.007	1.238	0.021	122.425	2.445	0	0	114.35	0.988	0	0	119.55	1.756	115.9	2.841	123.1	0.163	180.7	2.128	
90	100	150	160	4	92	1.317	155.8	4.246	1.329	0.013	1.458	0.006	0	0	1.518	0.013	1.225	0.014	122.175	1.193	0	0	111.375	0.881	0	0	121.875	0.759	117.725	0.922	122.35	1.923	183.4	5.569	
90	100	-170	-160	5	94.6	3.399	-166.5	3.05	1.328	0.012	1.455	0.015	0	0	1.511	0.016	1.231	0.004	121.26	1.214	0	0	113.02	0.944	0	0	123.68	2.192	117.08	1.929	122.86	1.828	181.7	5.574	
90	100	0	10	22	93.8	2.665	5.2	2.912	1.329	0.016	1.441	0.014	0	0	1.504	0.015	1.236	0.015	122.032	1.354	0	0	116.041	1.416	0	0	119.223	0.889	117.355	1.411	122.573	1.308	179.3	4.305	
90	100	-10	0	36	94	2.774	-5.3	2.836	1.333	0.016	1.446	0.012	0	0	1.515	0.013	1.237	0.011	122.397	1.575	0	0	115.05	1.345	0	0	118.781	1.613	116.817	1.997	122.736	1.501	178.8	4.156	
90	100	170	180	2	96.5	2.376	173.6	0.396	1.334	0.013	1.448	0.017	0	0	1.528	0.023	1.239	0.008	122.05	2.333	0	0	111.45	0.212	0	0	122.75	1.344	112.1	0.566	125.6	0.707	175.3	8.719	
90	100	10	20	14	93.7	2.904	13.1	2.666	1.325	0.01	1.45	0.018	0	0	1.517	0.017	1.234	0.017	121.929	2.101	0	0	115.814	1.475	0	0	118.507	1.213	118.35	1.274	122.279	1.083	177.7	5.638	
90	100	-20	-10	19	94.8	2.351	-14.4	3.127	1.328	0.024	1.441	0.012	0	0	1.514	0.015	1.235	0.015	122.979	1.668	0	0	114.953	1.181	0	0	119.326	0.804	115.584	1.484	122.589	1.434	179.5	4.469	
