PhiStart	PhiStop	PsiStart	PsiStop	Observations	PhiAvg	PhiDev	PsiAvg	PsiDev	L1Avg	L1Dev	L2Avg	L2Dev	L3Avg	L3Dev	L4Avg	L4Dev	L5Avg	L5Dev	a1Avg	a1Dev	a2Avg	a2Dev	a3Avg	a3Dev	a4Avg	a4Dev	a5Avg	a5Dev	a6Avg	a6Dev	a7Avg	a7Dev	OmeAvg	OmeDev	
-90	-80	-20	-10	8	-83.1	2.769	-14.9	2.892	1.343	0.01	1.466	0.015	1.547	0.019	1.519	0.013	1.242	0.01	120.075	1.286	103.15	1.315	115.388	2.018	110.275	1.947	118.913	1.898	117.688	1.075	121.35	0.735	185.9	8.933	
-90	-80	130	140	2	-83.7	4.031	133.7	2.991	1.338	0.022	1.471	0.005	1.526	0.001	1.536	0.007	1.232	0.018	120.95	0.778	103.2	0	109.45	1.626	109.35	0.071	120.95	1.202	117.8	1.556	122.25	0.071	183.3	2.001	
-90	-80	90	100	1	-81.6	0	95.8	0	1.342	0	1.486	0	1.555	0	1.494	0	1.262	0	121.3	0	101.2	0	111.2	0	113.2	0	121.6	0	120.1	0	119.3	0	187.5	0	
-90	-80	-40	-30	1	-82.8	0	-30.1	0	1.339	0	1.47	0	1.525	0	1.508	0	1.249	0	118.1	0	103.1	0	114.4	0	112.9	0	120.4	0	120.9	0	121.2	0	183.4	0	
-90	-80	40	50	2	-86.9	0.332	44.8	4.752	1.335	0.006	1.462	0.002	1.53	0.001	1.515	0.037	1.254	0.025	122	1.273	103.45	0.495	112.95	2.475	113.05	2.899	121.95	1.202	119.9	0.707	121.25	0.071	176.3	6.986	
-90	-80	50	60	3	-85.1	2.335	56.7	3.479	1.343	0.015	1.469	0.01	1.531	0.008	1.533	0.007	1.224	0.013	121.167	0.289	102.2	0.458	112.5	1.868	111.9	1.652	120.967	0.153	117.433	1.193	122.3	0.265	180.5	10.479	
-90	-80	10	20	2	-83.8	1.98	15.8	3.168	1.331	0.002	1.461	0.003	1.535	0.007	1.523	0.009	1.236	0.008	121.35	0.354	102.05	0.778	115.25	0.354	109.65	0.919	119.1	1.273	119.3	0.99	121.95	0.212	183.6	2.447	
-80	-70	140	150	19	-73.7	2.508	146.4	2.775	1.328	0.015	1.467	0.012	1.533	0.014	1.515	0.013	1.236	0.011	119.974	1.019	103.126	0.623	111.884	1.553	110.826	1.271	121.447	1.141	118.358	1.406	121.374	1.128	173.1	6.752	
-80	-70	-30	-20	9	-73.5	3.92	-23.4	2.693	1.333	0.021	1.464	0.01	1.527	0.018	1.52	0.011	1.233	0.012	118.911	1.087	103.456	0.728	114.6	1.992	111.356	2.085	118.2	0.954	117.844	1.133	121.122	0.86	179.2	5.588	
-80	-70	150	160	24	-74.6	3.299	155	2.99	1.326	0.01	1.462	0.014	1.535	0.008	1.522	0.012	1.231	0.012	120.221	0.835	103.283	0.752	111.746	1.438	110.258	1.406	122.025	1.143	118.113	1.239	121.596	0.637	170.6	6.207	
-80	-70	-10	0	13	-74.7	3.25	-5.7	2.784	1.336	0.01	1.471	0.015	1.539	0.018	1.517	0.018	1.232	0.013	120.092	1.209	103.454	1.146	114.162	1.241	111.431	1.7	118.892	1.366	118.708	2.002	121.092	1.224	178.4	7.076	
-80	-70	-20	-10	18	-73.9	2.762	-14.3	3.237	1.335	0.01	1.472	0.011	1.531	0.016	1.513	0.017	1.247	0.011	119.994	1.163	103.422	0.953	114.206	1.072	110.878	1.526	118.839	1.046	117.972	2.108	121.439	1.174	181	5.531	
-80	-70	170	180	6	-75.5	4.16	174.5	1.839	1.337	0.018	1.468	0.016	1.53	0.025	1.529	0.011	1.236	0.025	121.15	0.878	102.033	1.171	110.367	1.808	112.15	1.381	121.883	1.585	117.667	1.392	121.467	0.717	180.4	1.58	
-80	-70	-40	-30	2	-74.1	2.397	-33.4	0.028	1.334	0.002	1.48	0.008	1.533	0.008	1.506	0.013	1.234	0.004	118.55	0.212	105.45	1.909	114.8	1.697	111.6	0	119.05	0.212	119.75	0.212	120.9	0.707	187.8	4.731	
-80	-70	0	10	3	-75	1.783	1.2	1.017	1.349	0.004	1.464	0.013	1.535	0.005	1.507	0.014	1.228	0.012	119.467	0.513	101.8	1.473	114.333	0.321	112.767	1.436	119.333	0.862	116.6	1.493	122.567	0.635	177.8	6.025	
-80	-70	160	170	19	-74.4	2.758	162.8	2.601	1.327	0.012	1.463	0.009	1.527	0.016	1.524	0.011	1.232	0.011	120.274	0.824	103.932	1.402	111.395	1.392	110.779	1.288	122.163	1.164	117.5	1.137	122.147	1.155	173.6	4.955	
-80	-70	120	130	7	-74.7	2.821	126.5	2.686	1.331	0.01	1.469	0.013	1.535	0.011	1.525	0.009	1.233	0.017	120.986	1.246	103.257	0.435	110.829	2.085	111.214	0.72	120.043	1.072	119.071	1.654	121.329	1.118	180.7	5.869	
-80	-70	110	120	2	-79	0.94	111.8	0.163	1.333	0	1.462	0.003	1.531	0.006	1.521	0.009	1.237	0.001	121.05	0.071	103.1	0.424	111.45	1.202	112.25	0.919	121.2	1.273	118.9	2.121	121.65	0.919	177.4	3.606	
-80	-70	40	50	1	-78.7	0	45.1	0	1.325	0	1.472	0	1.533	0	1.534	0	1.217	0	124.4	0	103.5	0	116.6	0	110.7	0	120.8	0	118.2	0	121	0	178.5	0	
-80	-70	60	70	1	-79.5	0	63.8	0	1.347	0	1.473	0	1.553	0	1.508	0	1.237	0	121.5	0	101.8	0	112.6	0	114.3	0	122.6	0	116.8	0	124.8	0	166.6	0	
-80	-70	130	140	6	-74.5	2.761	134.7	2.169	1.33	0.009	1.469	0.012	1.533	0.013	1.521	0.011	1.232	0.005	119.583	1.609	103.583	0.83	110.017	1.677	112.117	1.393	121.583	1.692	118.55	1.143	121.567	1.678	179.8	3.193	
-50	-40	130	140	2	-48.6	0.12	135.6	2.397	1.339	0.002	1.461	0.016	1.541	0.003	1.512	0.018	1.244	0.033	121.05	0.778	101.75	0.778	113.55	0.495	110.9	2.687	121.75	0.778	116.5	1.131	121.75	0.354	174.6	1.98	
-50	-40	-60	-50	1	-44.1	0	-50.9	0	1.352	0	1.469	0	1.522	0	1.479	0	1.252	0	120.3	0	102.6	0	118.4	0	117	0	123.5	0	118.3	0	120.5	0	184.8	0	
-50	-40	-50	-40	3	-48.2	0.878	-44.2	2.489	1.331	0.013	1.473	0.015	1.551	0.009	1.516	0.021	1.231	0.008	119.9	1.229	102.5	1.836	116.033	1.518	112.433	1.514	118.133	1.677	117.833	0.907	122	0.265	183.5	2.189	
-50	-40	120	130	2	-48.5	1.98	127	1.549	1.332	0.004	1.46	0.001	1.536	0.018	1.503	0.021	1.219	0.023	120.4	0.566	103.05	1.202	114.3	0.424	110.9	1.273	120.75	1.202	118.55	0.495	121.8	0.707	179.8	3.974	
-110	-100	0	10	4	-102.6	2.977	6.9	1.969	1.335	0.01	1.475	0.006	1.531	0.008	1.535	0.008	1.236	0.019	120.75	1.234	101.675	0.903	113.9	1.01	110.125	1.367	117.85	0.714	118.375	1.539	121.95	0.988	187	1.261	
-110	-100	20	30	1	-103.1	0	22.3	0	1.332	0	1.468	0	1.539	0	1.515	0	1.233	0	121.7	0	101.8	0	113.3	0	110.1	0	119.9	0	116.1	0	122.2	0	169.6	0	
-100	-90	0	10	6	-94.7	2.661	4.1	2.873	1.329	0.01	1.472	0.011	1.535	0.02	1.518	0.01	1.236	0.013	121.083	1.728	101.567	1.277	115.683	1.425	109.433	0.944	118.833	1.743	118.067	2.765	121.75	1.829	188.2	3.874	
-100	-90	20	30	1	-91.6	0	28.7	0	1.353	0	1.463	0	1.539	0	1.519	0	1.243	0	121.8	0	102.3	0	114.6	0	111.2	0	120.4	0	116.4	0	121.9	0	184.8	0	
-100	-90	140	150	1	-92.3	0	141.8	0	1.344	0	1.475	0	1.528	0	1.52	0	1.231	0	118.5	0	100.9	0	114.8	0	107.6	0	123.4	0	117.7	0	121.1	0	173.3	0	
-100	-90	-10	0	1	-92.9	0	-3.1	0	1.343	0	1.479	0	1.545	0	1.522	0	1.246	0	121	0	101.9	0	115.2	0	112.2	0	118.7	0	117.1	0	121.8	0	181.9	0	
