PhiStart	PhiStop	PsiStart	PsiStop	Observations	PhiAvg	PhiDev	PsiAvg	PsiDev	L1Avg	L1Dev	L2Avg	L2Dev	L3Avg	L3Dev	L4Avg	L4Dev	L5Avg	L5Dev	a1Avg	a1Dev	a2Avg	a2Dev	a3Avg	a3Dev	a4Avg	a4Dev	a5Avg	a5Dev	a6Avg	a6Dev	a7Avg	a7Dev	OmeAvg	OmeDev	Color	X	Y	XLen	YLen	XBin	YBin	
-160	-150	80	90	3	-153.3	1.243	83.7	3.22	1.331	0.015	1.455	0.013	1.515	0.013	1.514	0.01	1.246	0.01	121.4	0.7	112.267	1.888	108.8	2.117	109.967	1.15	121.567	1.332	116.067	2.65	123.067	0.85	178	5.633	-1	-160	80	10	10	-16	8	
-160	-150	140	150	3	-153.5	2.907	143.4	4.57	1.34	0.028	1.456	0.006	1.533	0.029	1.513	0.009	1.24	0.011	123.133	2.914	111.2	2.307	107.533	1.258	110.867	1.06	118.767	0.757	115.333	2.219	123.1	0.872	184.2	4.13	-2	-160	140	10	10	-16	14	
-160	-150	130	140	2	-158.1	2.072	137.6	3.09	1.338	0.008	1.461	0.008	1.54	0.003	1.519	0.003	1.243	0.008	119.2	1.98	109.1	1.697	108.9	2.828	108.75	2.899	119.2	0.99	116.35	0.919	122.8	0.99	178.2	7.616	-1	-160	130	10	10	-16	13	
-160	-150	170	180	1	-152.9	0	172.2	0	1.313	0	1.461	0	1.527	0	1.515	0	1.233	0	120.8	0	113.5	0	106.2	0	109.2	0	121.2	0	118.8	0	121.5	0	174	0	-4	-160	170	10	10	-16	17	
-160	-150	150	160	4	-155.6	2.914	154.1	4.376	1.326	0.01	1.455	0.011	1.532	0.016	1.518	0.02	1.225	0.008	121.875	1.957	109.975	0.822	107.975	1.484	109.375	1.477	119.525	1.109	117.95	1.603	121.9	0.594	177.1	3.587	-2	-160	150	10	10	-16	15	
-160	-150	60	70	2	-154.9	4.83	66.5	3.903	1.34	0.008	1.457	0.018	1.517	0.004	1.528	0.004	1.234	0.025	121.65	1.626	110.8	0.707	109.25	0.778	110.9	0.283	120	1.131	117.1	1.697	121.85	0.636	181.4	0.29	-1	-160	60	10	10	-16	6	
-160	-150	120	130	1	-154.1	0	127.3	0	1.321	0	1.442	0	1.525	0	1.515	0	1.225	0	123.9	0	112.1	0	108	0	109.3	0	117.5	0	119.1	0	120.5	0	182.7	0	-2	-160	120	10	10	-16	12	
-70	-60	110	120	3	-67.8	3.063	117.4	1.757	1.32	0.018	1.444	0.023	1.542	0.033	1.518	0.007	1.236	0.016	123.8	3.208	110.3	1.952	110.9	3.1	109.133	2.05	118.267	0.153	118.167	3.197	120.967	2.413	179.8	3.814	1	-70	110	10	10	-7	11	
-70	-60	120	130	21	-64.8	2.919	125.6	2.988	1.324	0.019	1.465	0.018	1.525	0.023	1.523	0.015	1.239	0.012	121.152	1.334	109.081	1.727	109.548	1.878	109.933	1.62	119.748	1.193	117.024	1.687	121.867	1.086	181	6.223	-0	-70	120	10	10	-7	12	
-70	-60	-60	-50	5	-65.3	3.275	-55.2	1.852	1.342	0.01	1.462	0.01	1.535	0.016	1.522	0.011	1.243	0.008	119.9	0.731	109.98	0.789	111.9	1.729	114.64	2.897	119.2	0.809	118.08	0.912	122.12	1.252	178.2	5.573	2	-70	-60	10	10	-7	-6	
-70	-60	160	170	5	-66.5	2.439	163.4	2.046	1.34	0.011	1.436	0.022	0.924	0.843	1.517	0.014	1.24	0.018	121.44	1.652	65.72	60.053	110.84	0.945	65.62	59.914	121	1.573	117	1.78	121.86	1.488	178.5	6.597	1	-70	160	10	10	-7	16	
-70	-60	140	150	26	-64.8	2.279	146	2.501	1.33	0.012	1.455	0.011	1.528	0.015	1.527	0.01	1.237	0.013	120.027	1.413	109.562	2.537	109.885	1.02	109.573	1.636	120.75	1.107	117.508	2.212	122.05	1.451	178.1	5.778	-0	-70	140	10	10	-7	14	
-70	-60	-50	-40	10	-63.1	2.67	-44.8	2.574	1.336	0.016	1.462	0.01	1.529	0.012	1.521	0.012	1.245	0.013	119.68	1.539	110.58	1.237	111.77	1.144	113.54	1.73	118.92	0.975	116.9	2.312	122.08	0.831	176.5	2.324	2	-70	-50	10	10	-7	-5	
-70	-60	150	160	22	-65.8	2.54	154.5	2.998	1.33	0.011	1.457	0.016	1.532	0.017	1.524	0.013	1.235	0.012	120.541	1.146	108.132	3.317	110.668	1.818	109.618	1.701	120.764	0.861	117.309	2.223	121.927	1.708	179.4	7.393	1	-70	150	10	10	-7	15	
-70	-60	-40	-30	3	-60.9	0.459	-37.2	2.284	1.335	0.011	1.455	0.018	1.533	0.018	1.532	0.002	1.25	0.012	118.933	0.723	111.833	1.201	113.833	1.498	111.033	1.75	116.833	1.106	117.5	2.078	122.333	0.611	179.2	3.358	4	-70	-40	10	10	-7	-4	
-70	-60	130	140	18	-64.3	2.922	135.6	2.868	1.327	0.016	1.458	0.017	1.531	0.014	1.52	0.009	1.241	0.018	120.028	1.689	110.15	1.963	109.622	1.765	109.422	2.064	119.744	1.121	117.478	2.32	122.289	1.529	177.6	8.364	-0	-70	130	10	10	-7	13	
-60	-50	150	160	5	-57.4	1.605	154	3.463	1.343	0.02	1.453	0.018	1.52	0.011	1.526	0.018	1.241	0.014	121.06	2.164	107.04	4.049	109.78	1.534	110.44	1.713	121.14	1.683	116.48	1.497	121.06	1.119	180.5	5.084	-0	-60	150	10	10	-6	15	
-60	-50	130	140	19	-56.5	2.445	134.4	3.009	1.329	0.012	1.453	0.007	1.537	0.011	1.526	0.01	1.239	0.009	120.316	1.341	109.663	1.068	109.537	1.113	109.668	1.365	119.742	0.778	117.932	1.849	121.505	0.816	181	6.329	-0	-60	130	10	10	-6	13	
-60	-50	-60	-50	9	-53.8	3.799	-52.7	2.655	1.331	0.016	1.463	0.008	1.193	0.677	1.521	0.009	1.239	0.013	121.878	1.204	84.978	48.199	112.956	0.954	88.756	50.332	119.3	0.959	117.9	1.71	122.389	0.843	181.4	2.134	3	-60	-60	10	10	-6	-6	
-60	-50	-50	-40	24	-55.7	2.727	-44.3	2.812	1.331	0.015	1.461	0.012	1.407	0.433	1.516	0.013	1.242	0.012	120.238	1.025	101.188	31.198	113.512	1.694	103.25	31.873	118.654	1.034	118.288	1.458	121.817	1.034	180.9	2.676	4	-60	-50	10	10	-6	-5	
-60	-50	110	120	1	-55.2	0	111.2	0	1.302	0	1.466	0	1.503	0	1.514	0	1.223	0	126.7	0	106.5	0	110.9	0	109.9	0	119.7	0	116	0	123.7	0	183.3	0	1	-60	110	10	10	-6	11	
-60	-50	120	130	8	-56.8	2.194	126.5	2.6	1.325	0.016	1.444	0.014	1.525	0.015	1.534	0.011	1.247	0.017	121.538	1.183	110.225	2.811	109.338	1.089	109.675	1.798	119.15	0.847	117.338	1.943	121.288	1.08	184.4	8.164	-1	-60	120	10	10	-6	12	
-60	-50	-40	-30	10	-55.7	2.514	-37.8	1.931	1.33	0.007	1.452	0.011	1.385	0.487	1.525	0.012	1.24	0.009	120.81	1.098	99.03	34.831	113.83	1.101	100.23	35.256	118.09	1.014	117.83	1.626	121.56	0.873	178.9	1.673	4	-60	-40	10	10	-6	-4	
-60	-50	140	150	2	-53.2	1.075	140.4	0.559	1.309	0.028	1.462	0.006	1.531	0.015	1.531	0.005	1.246	0.013	119.4	0.283	108.95	1.485	109.7	0.141	111.1	3.111	120.6	0.707	117.25	1.485	122.95	0.071	186	2.539	-0	-60	140	10	10	-6	14	
-60	-50	-70	-60	3	-56.7	0.912	-62	2.521	1.343	0.004	1.466	0.002	1.538	0.008	1.531	0.006	1.245	0.01	120.633	1.234	110.467	2.084	111.867	1.935	113.3	1.136	119.233	0.208	118.367	2.901	121.533	1.563	185.6	5.015	2	-60	-70	10	10	-6	-7	
-90	-80	120	130	12	-84.1	1.854	123.7	2.835	1.33	0.01	1.453	0.011	1.52	0.018	1.524	0.011	1.237	0.014	121.758	1.014	110.75	1.229	109.592	1.281	109.25	1.871	119.233	0.607	117.433	2.276	121.767	1.493	180.4	4.822	-0	-90	120	10	10	-9	12	
