PhiStart	PhiStop	PsiStart	PsiStop	Observations	PhiAvg	PhiDev	PsiAvg	PsiDev	L1Avg	L1Dev	L2Avg	L2Dev	L3Avg	L3Dev	L4Avg	L4Dev	L5Avg	L5Dev	a1Avg	a1Dev	a2Avg	a2Dev	a3Avg	a3Dev	a4Avg	a4Dev	a5Avg	a5Dev	a6Avg	a6Dev	a7Avg	a7Dev	OmeAvg	OmeDev	Color	X	Y	XLen	YLen	XBin	YBin	
-60	-50	110	120	1	-59.9	0	119.2	0	1.348	0	1.483	0	1.549	0	1.514	0	1.229	0	119.2	0	102.5	0	113.5	0	109.3	0	123.3	0	117.4	0	122.1	0	181.1	0	-7	-60	110	10	10	-6	11	
-70	-60	150	160	49	-65.5	2.601	154.4	2.692	1.331	0.015	1.467	0.014	1.537	0.022	1.518	0.011	1.235	0.014	119.757	1.182	103.341	0.987	111.771	1.826	110.765	1.207	121.882	1.394	117.971	1.535	121.331	1.284	176.6	6.386	8	-70	150	10	10	-7	15	
-70	-60	-20	-10	28	-66.1	2.783	-15.4	2.274	1.34	0.01	1.471	0.016	1.533	0.014	1.519	0.022	1.238	0.014	119.904	0.784	103.371	0.911	114.143	1.218	111.521	1.362	118.539	1.638	118.464	1.521	121.268	0.73	178.6	2.907	8	-70	-20	10	10	-7	-2	
-70	-60	140	150	57	-64.6	2.936	145.5	3.017	1.332	0.015	1.467	0.014	1.533	0.018	1.518	0.017	1.235	0.013	119.604	1.039	103.339	1.017	110.814	1.588	111.191	1.467	121.519	1.458	118.084	1.519	121.421	1.208	176.5	7.151	10	-70	140	10	10	-7	14	
-70	-60	130	140	21	-65.4	3.009	135.5	2.703	1.335	0.012	1.47	0.013	1.533	0.013	1.522	0.009	1.233	0.011	119.595	0.981	103.419	1.063	111.024	1.479	111.667	1.025	120.71	0.766	118.476	1.065	121.186	0.806	177.5	5.088	5	-70	130	10	10	-7	13	
-70	-60	160	170	20	-66.8	2.258	164.3	3.038	1.332	0.014	1.47	0.014	1.53	0.011	1.518	0.015	1.234	0.016	120.13	1.103	103.635	1.506	110.98	1.214	111.445	1.747	122.65	1.548	117.73	1.52	121.29	1.391	176.5	6.567	5	-70	160	10	10	-7	16	
-70	-60	-30	-20	60	-63.8	2.831	-24.2	3.205	1.335	0.012	1.47	0.013	1.533	0.013	1.517	0.015	1.235	0.013	119.395	1.121	103.555	0.951	113.595	1.183	112.042	1.406	119.02	1.56	118.745	1.763	121.065	0.932	178.7	4.596	10	-70	-30	10	10	-7	-3	
-70	-60	-40	-30	35	-62.8	2.1	-34.9	2.504	1.338	0.009	1.471	0.013	1.532	0.016	1.516	0.013	1.236	0.01	118.769	1.014	103.469	1.179	113.137	1.356	112.883	1.557	119.94	1.271	119.391	1.732	120.757	1.027	180.8	4.379	8	-70	-40	10	10	-7	-4	
-70	-60	-10	0	2	-69.8	0.219	-9	0.247	1.331	0.011	1.476	0.003	1.521	0.006	1.519	0.013	1.24	0.004	119.8	1.131	104.45	0.636	114.45	0.071	112.95	0.636	119.65	0.919	119.4	0.99	121.25	0.071	172.1	3.429	-4	-70	-10	10	10	-7	-1	
-70	-60	0	10	1	-63.9	0	0.8	0	1.335	0	1.472	0	1.569	0	1.513	0	1.245	0	121.4	0	103.7	0	116.5	0	106.1	0	120.6	0	116.3	0	122.3	0	175.5	0	-7	-70	0	10	10	-7	0	
-70	-60	120	130	8	-66.1	3.467	126.7	2	1.334	0.011	1.476	0.009	1.528	0.015	1.518	0.011	1.227	0.009	119.9	0.946	103.637	1.049	110.313	1.409	111.613	1.011	121.238	1.201	118.813	1.497	120.75	1.158	184	6.372	2	-70	120	10	10	-7	12	
-70	-60	-50	-40	5	-63.9	3.205	-41	1.033	1.331	0.011	1.47	0.011	1.539	0.017	1.505	0.009	1.246	0.02	117.94	1.033	102.84	1.232	113.82	0.716	112.44	0.844	119.16	1.471	118.66	0.498	121.52	0.858	184.4	2.36	-1	-70	-50	10	10	-7	-5	
-90	-80	60	70	3	-84.9	0.612	68.7	1.998	1.336	0.012	1.489	0.023	1.526	0.016	1.524	0.002	1.258	0.003	121.067	0.907	102.267	1.234	111.6	1.873	113.933	1.102	121.933	1.595	118.2	0.173	122.833	0.493	183.5	2.737	-1	-90	60	10	10	-9	6	
-90	-80	70	80	3	-80.6	0.123	72.6	2.415	1.507	0.279	1.473	0.006	1.534	0.014	1.52	0.009	1.224	0.025	118.367	4.302	102.3	0.608	111.9	1.253	113.133	1.35	124	2.261	115.067	5.918	124.9	5.897	185.4	1.651	-1	-90	70	10	10	-9	7	
-90	-80	160	170	9	-83.5	2.365	164.3	3.077	1.331	0.015	1.459	0.012	1.544	0.012	1.531	0.014	1.232	0.014	120.811	1.082	102.322	0.777	111.433	1.697	110.022	1.674	122.278	1.615	117.967	1.566	121.711	0.825	170.9	8.369	2	-90	160	10	10	-9	16	
-90	-80	-10	0	6	-82.4	2.573	-4.7	2.287	1.331	0.005	1.465	0.009	1.524	0.012	1.524	0.009	1.233	0.014	120.933	0.589	102.767	0.931	113.333	1.196	110.583	0.939	118.65	1.025	119.2	1.226	121.283	0.913	186.1	5.907	2	-90	-10	10	10	-9	-1	
-90	-80	0	10	4	-83.1	1.796	4.7	1.475	1.327	0.009	1.476	0.029	1.536	0.01	1.523	0.004	1.23	0.003	121.1	0.683	103.225	0.699	114.525	0.834	110.05	0.37	119	1.78	118.875	2.532	121.725	0.591	184.9	4.07	-1	-90	0	10	10	-9	0	
-90	-80	150	160	5	-83.4	1.115	154.1	3.453	1.334	0.018	1.466	0.007	1.537	0.01	1.519	0.01	1.23	0.011	121.68	0.814	101.76	0.615	112.64	1.971	109.74	1.983	122.06	1.345	116.14	2.262	122.54	0.483	170.9	11.53	-1	-90	150	10	10	-9	15	
-90	-80	140	150	5	-83.9	2.749	145.8	2.075	1.334	0.013	1.463	0.012	1.544	0.005	1.516	0.012	1.235	0.009	120.76	1.417	102.04	0.716	111.64	1.659	110.52	1.74	122.28	1.372	118.14	2.203	121.3	1.512	171.9	9.406	-1	-90	140	10	10	-9	14	
-90	-80	80	90	4	-83.7	1.586	83.4	4.235	1.334	0.024	1.481	0.022	1.528	0.006	1.535	0.009	1.223	0.018	121.625	0.946	103.025	0.608	113.75	4.124	111.075	1.468	123.075	0.854	119.05	0.719	121.475	0.419	177	6.448	-1	-90	80	10	10	-9	8	
-90	-80	110	120	3	-80.9	0.731	115.5	3.395	1.336	0.009	1.476	0.015	1.534	0.016	1.519	0.011	1.231	0.008	119.867	2.309	102.6	0.557	110.167	2.631	111.667	0.907	121.533	1.401	117.567	1.665	121.967	1.65	177.8	3.951	-1	-90	110	10	10	-9	11	
-90	-80	170	180	5	-83.2	3.452	174.5	1.663	1.318	0.011	1.461	0.007	1.524	0.007	1.527	0.01	1.232	0.007	121.54	1.176	102.68	0.884	109.62	1.561	109.98	2.139	120.94	0.786	117.44	1.313	121.76	1.104	173.5	5.165	-1	-90	170	10	10	-9	17	
-90	-80	-20	-10	8	-83.1	2.769	-14.9	2.892	1.343	0.01	1.466	0.015	1.547	0.019	1.519	0.013	1.242	0.01	120.075	1.286	103.15	1.315	115.388	2.018	110.275	1.947	118.913	1.898	117.688	1.075	121.35	0.735	185.9	8.933	2	-90	-20	10	10	-9	-2	
-90	-80	130	140	2	-83.7	4.031	133.7	2.991	1.338	0.022	1.471	0.005	1.526	0.001	1.536	0.007	1.232	0.018	120.95	0.778	103.2	0	109.45	1.626	109.35	0.071	120.95	1.202	117.8	1.556	122.25	0.071	183.3	2.001	-4	-90	130	10	10	-9	13	
-90	-80	90	100	1	-81.6	0	95.8	0	1.342	0	1.486	0	1.555	0	1.494	0	1.262	0	121.3	0	101.2	0	111.2	0	113.2	0	121.6	0	120.1	0	119.3	0	187.5	0	-7	-90	90	10	10	-9	9	
-90	-80	-40	-30	1	-82.8	0	-30.1	0	1.339	0	1.47	0	1.525	0	1.508	0	1.249	0	118.1	0	103.1	0	114.4	0	112.9	0	120.4	0	120.9	0	121.2	0	183.4	0	-7	-90	-40	10	10	-9	-4	
-90	-80	40	50	2	-86.9	0.332	44.8	4.752	1.335	0.006	1.462	0.002	1.53	0.001	1.515	0.037	1.254	0.025	122	1.273	103.45	0.495	112.95	2.475	113.05	2.899	121.95	1.202	119.9	0.707	121.25	0.071	176.3	6.986	-4	-90	40	10	10	-9	4	
-90	-80	50	60	3	-85.1	2.335	56.7	3.479	1.343	0.015	1.469	0.01	1.531	0.008	1.533	0.007	1.224	0.013	121.167	0.289	102.2	0.458	112.5	1.868	111.9	1.652	120.967	0.153	117.433	1.193	122.3	0.265	180.5	10.479	-1	-90	50	10	10	-9	5	
-90	-80	10	20	2	-83.8	1.98	15.8	3.168	1.331	0.002	1.461	0.003	1.535	0.007	1.523	0.009	1.236	0.008	121.35	0.354	102.05	0.778	115.25	0.354	109.65	0.919	119.1	1.273	119.3	0.99	121.95	0.212	183.6	2.447	-4	-90	10	10	10	-9	1	
-80	-70	140	150	19	-73.7	2.508	146.4	2.775	1.328	0.015	1.467	0.012	1.533	0.014	1.515	0.013	1.236	0.011	119.974	1.019	103.126	0.623	111.884	1.553	110.826	1.271	121.447	1.141	118.358	1.406	121.374	1.128	173.1	6.752	5	-80	140	10	10	-8	14	
-80	-70	-30	-20	9	-73.5	3.92	-23.4	2.693	1.333	0.021	1.464	0.01	1.527	0.018	1.52	0.011	1.233	0.012	118.911	1.087	103.456	0.728	114.6	1.992	111.356	2.085	118.2	0.954	117.844	1.133	121.122	0.86	179.2	5.588	2	-80	-30	10	10	-8	-3	
-80	-70	150	160	24	-74.6	3.299	155	2.99	1.326	0.01	1.462	0.014	1.535	0.008	1.522	0.012	1.231	0.012	120.221	0.835	103.283	0.752	111.746	1.438	110.258	1.406	122.025	1.143	118.113	1.239	121.596	0.637	170.6	6.207	5	-80	150	10	10	-8	15	
-80	-70	-10	0	13	-74.7	3.25	-5.7	2.784	1.336	0.01	1.471	0.015	1.539	0.018	1.517	0.018	1.232	0.013	120.092	1.209	103.454	1.146	114.162	1.241	111.431	1.7	118.892	1.366	118.708	2.002	121.092	1.224	178.4	7.076	5	-80	-10	10	10	-8	-1	
-80	-70	-20	-10	18	-73.9	2.762	-14.3	3.237	1.335	0.01	1.472	0.011	1.531	0.016	1.513	0.017	1.247	0.011	119.994	1.163	103.422	0.953	114.206	1.072	110.878	1.526	118.839	1.046	117.972	2.108	121.439	1.174	181	5.531	5	-80	-20	10	10	-8	-2	
-80	-70	170	180	9	-75.3	3.765	173.5	2.192	1.336	0.016	1.467	0.016	1.528	0.02	1.528	0.01	1.233	0.02	120.933	0.979	102.222	0.973	110.533	1.802	112.044	1.693	121.033	2.149	117.256	1.408	122.156	1.197	181.6	3.732	2	-80	170	10	10	-8	17	
-80	-70	-40	-30	2	-74.1	2.397	-33.4	0.028	1.334	0.002	1.48	0.008	1.533	0.008	1.506	0.013	1.234	0.004	118.55	0.212	105.45	1.909	114.8	1.697	111.6	0	119.05	0.212	119.75	0.212	120.9	0.707	187.8	4.731	-4	-80	-40	10	10	-8	-4	
-80	-70	0	10	3	-75	1.783	1.2	1.017	1.349	0.004	1.464	0.013	1.535	0.005	1.507	0.014	1.228	0.012	119.467	0.513	101.8	1.473	114.333	0.321	112.767	1.436	119.333	0.862	116.6	1.493	122.567	0.635	177.8	6.025	-1	-80	0	10	10	-8	0	
-80	-70	160	170	20	-74.4	2.685	162.8	2.532	1.327	0.011	1.462	0.01	1.527	0.016	1.525	0.011	1.232	0.011	120.31	0.818	103.885	1.381	111.275	1.457	110.73	1.273	122.095	1.173	117.545	1.125	122.135	1.126	173.6	4.823	5	-80	160	10	10	-8	16	
-80	-70	120	130	7	-74.7	2.821	126.5	2.686	1.331	0.01	1.469	0.013	1.535	0.011	1.525	0.009	1.233	0.017	120.986	1.246	103.257	0.435	110.829	2.085	111.214	0.72	120.043	1.072	119.071	1.654	121.329	1.118	180.7	5.869	2	-80	120	10	10	-8	12	
-80	-70	110	120	3	-76	5.167	113.2	2.477	1.327	0.011	1.481	0.033	1.541	0.018	1.518	0.008	1.239	0.003	120.8	0.436	103.1	0.3	111.2	0.954	111.833	0.971	120.7	1.249	119.267	1.629	121.733	0.666	178.8	3.563	-1	-80	110	10	10	-8	11	
-80	-70	40	50	1	-78.7	0	45.1	0	1.325	0	1.472	0	1.533	0	1.534	0	1.217	0	124.4	0	103.5	0	116.6	0	110.7	0	120.8	0	118.2	0	121	0	178.5	0	-7	-80	40	10	10	-8	4	
-80	-70	60	70	1	-79.5	0	63.8	0	1.347	0	1.473	0	1.553	0	1.508	0	1.237	0	121.5	0	101.8	0	112.6	0	114.3	0	122.6	0	116.8	0	124.8	0	166.6	0	-7	-80	60	10	10	-8	6	
-80	-70	130	140	6	-74.5	2.761	134.7	2.169	1.33	0.009	1.469	0.012	1.533	0.013	1.521	0.011	1.232	0.005	119.583	1.609	103.583	0.83	110.017	1.677	112.117	1.393	121.583	1.692	118.55	1.143	121.567	1.678	179.8	3.193	2	-80	130	10	10	-8	13	
-50	-40	130	140	3	-48.5	0.217	136.5	2.324	1.334	0.008	1.458	0.012	1.54	0.003	1.513	0.013	1.239	0.025	121.067	0.551	102.333	1.15	112.367	2.079	111.633	2.285	121.167	1.15	117.233	1.501	121.6	0.361	179.1	7.817	-1	-50	130	10	10	-5	13	
-50	-40	-60	-50	1	-44.1	0	-50.9	0	1.352	0	1.469	0	1.522	0	1.479	0	1.252	0	120.3	0	102.6	0	118.4	0	117	0	123.5	0	118.3	0	120.5	0	184.8	0	-7	-50	-60	10	10	-5	-6	
-50	-40	-50	-40	3	-48.2	0.878	-44.2	2.489	1.331	0.013	1.473	0.015	1.551	0.009	1.516	0.021	1.231	0.008	119.9	1.229	102.5	1.836	116.033	1.518	112.433	1.514	118.133	1.677	117.833	0.907	122	0.265	183.5	2.189	-1	-50	-50	10	10	-5	-5	
-50	-40	120	130	2	-48.5	1.98	127	1.549	1.332	0.004	1.46	0.001	1.536	0.018	1.503	0.021	1.219	0.023	120.4	0.566	103.05	1.202	114.3	0.424	110.9	1.273	120.75	1.202	118.55	0.495	121.8	0.707	179.8	3.974	-4	-50	120	10	10	-5	12	
-110	-100	0	10	4	-102.6	2.977	6.9	1.969	1.335	0.01	1.475	0.006	1.531	0.008	1.535	0.008	1.236	0.019	120.75	1.234	101.675	0.903	113.9	1.01	110.125	1.367	117.85	0.714	118.375	1.539	121.95	0.988	187	1.261	-1	-110	0	10	10	-11	0	
-110	-100	20	30	1	-103.1	0	22.3	0	1.332	0	1.468	0	1.539	0	1.515	0	1.233	0	121.7	0	101.8	0	113.3	0	110.1	0	119.9	0	116.1	0	122.2	0	169.6	0	-7	-110	20	10	10	-11	2	
-100	-90	0	10	6	-94.7	2.661	4.1	2.873	1.329	0.01	1.472	0.011	1.535	0.02	1.518	0.01	1.236	0.013	121.083	1.728	101.567	1.277	115.683	1.425	109.433	0.944	118.833	1.743	118.067	2.765	121.75	1.829	188.2	3.874	2	-100	0	10	10	-10	0	
-100	-90	20	30	1	-91.6	0	28.7	0	1.353	0	1.463	0	1.539	0	1.519	0	1.243	0	121.8	0	102.3	0	114.6	0	111.2	0	120.4	0	116.4	0	121.9	0	184.8	0	-7	-100	20	10	10	-10	2	
-100	-90	140	150	1	-92.3	0	141.8	0	1.344	0	1.475	0	1.528	0	1.52	0	1.231	0	118.5	0	100.9	0	114.8	0	107.6	0	123.4	0	117.7	0	121.1	0	173.3	0	-7	-100	140	10	10	-10	14	
-100	-90	-10	0	1	-92.9	0	-3.1	0	1.343	0	1.479	0	1.545	0	1.522	0	1.246	0	121	0	101.9	0	115.2	0	112.2	0	118.7	0	117.1	0	121.8	0	181.9	0	-7	-100	-10	10	10	-10	-1	
